,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
146,TM Head,4.9375,2.7880794701986757,0.0,0.06666666666666665,0.2,0.03870967741935484,2.70375,7.792246136865343,-282.586310483871,Batsman
147,PD Collingwood,8.125,2.383647798742138,0.4285714285714284,0.09523809523809527,0.7142857142857143,0.09677419354838711,3.416,11.032457322551663,-279.65941013824886,AllRounder
148,SK Warne,1.0,1.0,0.0,0.0,1.0555555555555556,1.103225806451613,3.320678659035159,2.0,-277.78080996843653,Bowler
149,SP Fleming,4.6000000000000005,1.7309941520467824,0.0,0.5666666666666668,0.0,0.0,0.0,6.897660818713449,-285.0,Batsman
150,AS Raut,1.796875,1.6395348837209298,0.0,0.0,0.0,0.0,2.94,3.4364098837209296,-279.59000000000003,Bowler
151,Salman Butt,7.5892857142857135,1.6104651162790702,0.0,1.0952380952380951,0.0,0.0,0.0,10.294988925802878,-283.0,Batsman
152,BJ Rohrer,6.296875,2.60958904109589,0.0,0.5416666666666666,0.0,0.0,2.6700000000000004,9.448130707762557,-277.995,Batsman
153,YV Takawale,4.449999999999999,1.2459016393442623,0.0,0.5333333333333333,0.0,0.0,0.0,6.229234972677595,-281.0,Batsman
154,MJ Guptill,4.3374999999999995,2.608391608391608,0.0,0.3333333333333333,0.0,0.0,0.0,7.27922494172494,-280.0,Batsman
155,Bipul Sharma,1.375,3.540322580645163,0.0,0.0,0.6071428571428571,0.32903225806451614,3.150963302752294,4.915322580645163,-273.8692923730605,Bowler
156,FY Fazal,3.4886363636363638,1.1117318435754178,0.0,0.3333333333333333,0.0,0.0,2.73,4.933701540545115,-274.905,Batsman
157,AC Voges,6.94642857142857,2.328671328671329,0.0,0.38095238095238093,0.0,0.0,3.12,9.65605228105228,-273.32,Batsman
158,AB Agarkar,1.0,1.59375,0.0,0.0,0.6904761904761905,0.5612903225806452,3.026048780487805,2.59375,-271.58327705968304,Bowler
159,SN Khan,3.2840909090909087,4.592233009708738,0.0,0.24242424242424243,0.0,0.0,0.0,8.11874816122389,-277.0,Batsman
160,MF Maharoof,1.9910714285714284,3.137096774193549,0.0,0.0,1.35,0.5225806451612903,3.31,5.128168202764977,-268.2261290322581,Bowler
161,DH Yagnik,1.0,1.9859154929577465,0.0,0.11764705882352944,0.0,0.0,0.0,3.103562551781276,-275.0,Batsman
162,CM Gautam,2.125,1.3481012658227853,0.0,0.10256410256410257,0.0,0.0,0.0,3.575665368386888,-274.0,Batsman
163,MN van Wyk,9.775,2.1851851851851856,0.0,0.9333333333333332,0.0,0.0,0.0,12.893518518518519,-273.0,Batsman
164,DW Steyn,1.0,1.15527950310559,0.0,0.0,1.022222222222222,1.7806451612903227,3.4439416396479845,2.1552795031055902,-263.6297864652592,Bowler
165,PA Reddy,3.3999999999999995,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,4.566666666666666,-272.0,Batsman
166,MP Stoinis,4.890625,1.992647058823529,0.0,0.25,0.8333333333333334,0.19354838709677422,2.936985645933014,7.133272058823529,-265.0541989504553,Batsman
167,MN Samuels,1.5625,1.0,0.0,0.0,0.6428571428571429,0.17419354838709677,3.190273972602739,2.5625,-263.98901300422955,Bowler
168,RE van der Merwe,1.2249999999999999,1.5208333333333344,0.0,0.0,1.0,0.40645161290322585,3.403846153846154,2.7458333333333345,-262.7845533498759,Bowler
169,R McLaren,1.836538461538462,1.0,0.0,0.025641025641025623,0.6666666666666666,0.23225806451612904,2.94,2.8621794871794872,-263.2416129032258,Bowler
170,B Kumar,1.0,1.0,0.0,0.0,1.2333333333333334,2.1483870967741936,3.3516163583252183,2.0,-258.8999948173509,Bowler
171,R Dhawan,1.0,1.6666666666666656,0.0,0.0,0.72,0.34838709677419355,3.2212280701754383,2.6666666666666656,-262.56557724957554,Bowler
172,MG Johnson,1.0,1.0,0.0,0.0,1.25,1.1612903225806452,3.188116438356164,2.0,-260.60088985859477,Bowler
173,SM Pollock,4.140625,2.3362068965517246,0.0,0.16666666666666666,0.8461538461538461,0.21290322580645163,3.4484999999999992,6.643498563218391,-261.23866439205955,AllRounder
174,S Vidyut,4.046875,2.304347826086957,0.0,0.5416666666666666,0.125,0.01935483870967742,2.697692307692308,6.892889492753624,-262.736929280397,Batsman
